number,nationwide_number,name,sex,year_of_birth,nationality,Military,selection,year_of_selection,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,eva_hrs_mission,total_eva_hrs
340,4,Chris Hadfield,male,1959,Canada,TRUE,1992 CSA Group,1992,3,pilot,1995,STS-74,STS-74,STS-74,STS-74,196.5,4191.82,0,14.83
340,4,Chris Hadfield,male,1959,Canada,TRUE,1992 CSA Group,1992,3,pilot,2001,STS-100,STS-100,STS-100,STS-100,285.5,4191.82,14.83,14.83
340,4,Chris Hadfield,male,1959,Canada,TRUE,1992 CSA Group,1992,3,pilot,2012,34,Soyuz TMA-07M,ISS,Soyuz TMA-07M,3710.32,4191.82,0,14.83
341,218,"Jett, Brent W.",male,1958,U.S.,TRUE,NASA- 14,1992,4,pilot,1996,STS-72,STS-72,STS-72,STS-72,214,1002.02,0,0
341,218,"Jett, Brent W.",male,1958,U.S.,TRUE,NASA- 15,1992,4,pilot,1997,STS-81,STS-81,STS-81,STS-81,244,1002.02,0,0
341,218,"Jett, Brent W.",male,1958,U.S.,TRUE,NASA- 16,1992,4,commander,2000,STS-97,STS-97,STS-97,STS-97,259,1002.02,0,0
341,218,"Jett, Brent W.",male,1958,U.S.,TRUE,NASA- 17,1992,4,commander,2006,STS-115,STS-115,STS-115,STS-115,283,1002.02,0,0
342,219,"Scott, Winston E.",male,1950,U.S.,TRUE,1992 NASA group 14,1992,2,MSP,1996,STS-72,STS-72,STS-72,STS-72,214,590,6.68,19.38
342,219,"Scott, Winston E.",male,1950,U.S.,TRUE,1992 NASA group 14,1992,2,MSP,1997,STS-87,STS-87,STS-87,STS-87,376,590,12.7,19.38
343,4,"Wakata, Koichi",male,1963,Japan,FALSE,NASDA-2,1992,4,MSP,1996,STS-72,STS-72,STS-72,STS-72,214,8336.5,0,0
343,4,"Wakata, Koichi",male,1963,Japan,FALSE,NASDA-2,1992,4,MSP,2000,STS-92,STS-92,STS-92,STS-92,309.75,8336.5,0,0
