"Dimensions.Crest Elevation","Dimensions.Crest Length","Dimensions.Structural Height","Identity.Name","Identity.Watercourse","Location.County","Location.Latitude","Location.Longitude","Location.State","Identity.Project.Organization","Identity.Project.Year"
"6774.5","4920.0","65.5","Jackson Lake Dam","Snake River","Teton","43.8574396","-110.5899305","Wyoming","Minidoka","1912"
"4141.1","2784.18","132.17","James Diversion Dam","James River","Beadle","44.59737","-98.23891","South Dakota","PSMBP-James Diversion Dam","1963"
"1471.0","1418.0","110.0","Jamestown Dam","James River","Stutsman","46.9333","-98.71","North Dakota","PSMBP-Jamestown","1952"
"7004.0","750.0","192.0","Joes Valley Dam","Seely Creek","Emery","39.288475613983","-111.26935958862305","Utah","Emery County","1963"
"4141.1","263.0","15.0","John Franchi Diversion Dam","Fresno River","Madera","36.27807901986153","-97.50189279297881","California","CVP-Friant","1964"
"6185.0","3700.0","345.0","Jordanelle Dam","Provo","Wasatch","40.407287489365885","-111.52813911437988","Utah","CUP - Bonneville Unit","1987"
"2268.0","1400.0","115.0","Kachess Dam","Kachess River","Kittitas","47.2646","-121.20254","Washington","Yakima","1910"
"2525.0","6550.0","128.0","Keechelus Dam","Yakima River","Kittitas","47.32212","-121.34056","Washington","Yakima","1913"
"4412.5","558.0","78.0","Keene Creek Dam","Keene Creek","Jackson","42.129277","-122.478911","Oregon","Rogue River Basin","1957"
"2213.0","101.0","8.0","Kent Diversion Dam","North Loup","Loup","41.76136","-99.2678","Nebraska","PSMBP-North Loup","1076"
"595.5","1046.0","157.0","Keswick Dam","Sacramento river","Shasta","40.615","-122.4528","California","CVP-Shasta/Trinity","1941"
"4134.0","2784.18","168.0","Keyhole Dam","Offstream","Crook","44.3819","-104.7792","Wyoming","PSMBP-Keyhole","1950"
"1779.0","960.0","169.0","Kirwin Dam","NF Solomon Rivr","Phillips","39.65","-99.1222","Kansas","PSMBP-Kirwin","1952"
"6169.0","440.0","244.0","Kortes Dam","North Platte River","Carbon","42.17392","-106.881002","Wyoming","PSMBP-Kortes","1946"
"151.0","4780.0","43.0","Laguna Diversion Dam","Colorado River","Yuma, Ariz and Imperial, Calif","32.8233","-114.4972","Arizona and California","Yuma","1905"
