"groups","claim","status","statistics.sources","date.year","date.month","date.day","statistics.# wounded_low","statistics.# wounded_high","statistics.# killed_low","statistics.# killed_high","statistics.# killed_low_civilian","statistics.# killed_high_civilian","statistics.# killed_low_political","statistics.# killed_high_political","statistics.# killed_low_security","statistics.# killed_high_security","statistics.# belt_bomb","statistics.# truck_bomb","statistics.# car_bomb","statistics.# weapon_oth","statistics.# weapon_unk","target.weapon","target.region","target.subregion","target.country","target.province","target.city","target.location","target.latitude","target.longtitude","target.desc","target.type","target.nationality","statistics.# attackers","statistics.# female_attackers","statistics.# male_attackers","statistics.# unknown_attackers","attacker.gender"
"Unknown Group","Unclaimed","Possible - Too Few Sources","1","2017","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Unspecified PBIED","Asia","Western Asia","Iraq","Baghdad","Baghdad","School, Dora area","33.34","44.4","Iraqi school in residential area","Civilian","Iraqi","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2012","5","4","0","14","2","2","0","0","2","2","0","0","1","0","0","0","0","Belt bomb","Asia","Eastern Asia","China","Yunnan","Zhaotong","A government office in Qiaojia county","27.317","103.717","Officials Demolishing Woman's Home","Political","Chinese","1","1","0","0","Female"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2018","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Other PBIED","Asia","Western Asia","Syria","Idlib","Saraqeb","Battleground near village of Massaran","35.864152","36.806431","Free Syrian Army fighters with Jaish al-Naser group","Security","Syrian","1","0","1","0","Male"
"Islamic State West Africa Province","Suspected","Confirmed Suicide","3","2015","12","7","0","0","7","7","7","7","0","0","0","0","1","0","0","0","0","Belt bomb","Africa","Western Africa","Nigeria","Borno","Maiduguri","Elementary School, Aladuwari near Elementary School","11.833333","13.15","Crowd of Nigerian civilians","Civilian","Nigerian","2","2","0","0","Female"
"Islamic State West Africa Province","Suspected","Confirmed Suicide","3","2015","12","7","0","0","7","7","7","7","0","0","0","0","1","0","0","0","0","Belt bomb","Africa","Western Africa","Nigeria","Borno","Maiduguri","Elementary School, Aladuwari near Elementary School","11.833333","13.15","Crowd of Nigerian civilians","Civilian","Nigerian","2","2","0","0","Female"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2018","2","6","1","3","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Africa","Northern Africa","Libya","Surt","Sirte","Military checkpoint east of Sirte","31.2","16.58","Libyan soldiers and equipment at checkpoint","Security","Libyan","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2018","2","4","10","14","1","1","0","0","0","0","1","1","0","0","0","1","0","Motorcycle bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Street 40","33.434167","43.268611","Iraqi police checkpoint","Security","Iraqi","1","0","1","0","Male"
"Unknown Group","Unclaimed","Possible - Too Few Sources","1","2018","2","6","0","0","3","3","0","0","0","0","3","3","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Ninawa","Baaj","Near PMF checkpoint","36.04","41.71","PMF forces at the security checkpoint","Security","Iraqi","1","0","1","0","Male"
"Al-Shabaab","Claimed","Confirmed Suicide","4","2018","3","4","0","0","2","8","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Africa","Eastern Africa","Somalia","Shabeellaha Hoose","Siinka Dheer","Security Checkpoint","2.072","45.223","Security checkpont Siinka Dheer","Security","Somali","1","0","0","1","Unknown"
"Taliban (IEA)","Claimed","Confirmed Suicide","4","2007","3","2","0","1","4","10","0","0","0","0","4","10","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Hilmand","Lashkar Gah","Police Headquarters Entrance","31.59","64.37","Nabi Jan Mullahakhel, Helmand Police Chief [survived]","Security","Afghan","1","0","1","0","Male"
